Tipo de Solicitud;Cantidad;Año
Patente de Invención;68;2000
Patente de Invención;157;2001
Patente de Invención;182;2002
Patente de Invención;202;2003
Patente de Invención;203;2004
Patente de Invención;227;2005
Patente de Invención;295;2006
Patente de Invención;145;2007
Patente de Invención;54;2008
Patente de Invención;255;2009
Patente de Invención;342;2010
Patente de Invención;332;2011
Patente de Invención;282;2012
Patente de Invención;268;2013
Patente de Invención;258;2014
Patente de Invención;252;2015
Patente de Invención;273;2016
Patente de Invención;282;2017
Patente de Invención;242;2018
Patente de Invención;254;2019
Patente de Invención;160;2020
Patente de Invención;48;2021
Modelo de Utilidad;29;2000
Modelo de Utilidad;14;2001
Modelo de Utilidad;11;2002
Modelo de Utilidad;22;2003
Modelo de Utilidad;12;2004
Modelo de Utilidad;8;2005
Modelo de Utilidad;10;2006
Modelo de Utilidad;14;2007
Modelo de Utilidad;11;2008
Modelo de Utilidad;13;2009
Modelo de Utilidad;21;2010
Modelo de Utilidad;18;2011
Modelo de Utilidad;4;2012
Modelo de Utilidad;7;2013
Modelo de Utilidad;15;2014
Modelo de Utilidad;14;2015
Modelo de Utilidad;19;2016
Modelo de Utilidad;10;2017
Modelo de Utilidad;21;2018
Modelo de Utilidad;23;2019
Modelo de Utilidad;10;2020
Modelo de Utilidad;1;2021
Diseño Industrial;23;2000
Diseño Industrial;34;2001
Diseño Industrial;41;2002
Diseño Industrial;28;2003
Diseño Industrial;54;2004
Diseño Industrial;48;2005
Diseño Industrial;58;2006
Diseño Industrial;43;2007
Diseño Industrial;27;2008
Diseño Industrial;27;2009
Diseño Industrial;43;2010
Diseño Industrial;58;2011
Diseño Industrial;43;2012
Diseño Industrial;40;2013
Diseño Industrial;31;2014
Diseño Industrial;43;2015
Diseño Industrial;44;2016
Diseño Industrial;28;2017
Diseño Industrial;32;2018
Diseño Industrial;39;2019
Diseño Industrial;13;2020
Diseño Industrial;3;2021
